MS,MPT,t (ms),PWMi,PWMe,Pressure (Psi),LW raw(V),Displacement (mm),t_rel(s),LW (V),delta d (m),delta t (s),vel (m/s),strain,strain rate (1/s),dv/dt raw,dv/dt
4,5,87904,0,255,14.65,0.03,1.98,0.0,0.029304536043666455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,87926,205,0,14.54,0.03,1.98,0.022,0.027009222661396555,0.00032923572072203423,0.045,0.007316349349378539,0.012774193548387096,0.0,-0.2222222222222222,-0.06500771031663463
4,5,87949,205,0,14.54,0.02,1.98,0.045,0.026379189079417897,0.0003469194708075096,0.044000000000000004,0.0078845334274434,0.012774193548387096,0.0,0.0,0.005760598645974268
4,5,87970,205,0,14.65,0.03,1.98,0.066,0.027262689001819423,0.00037808852181826547,0.044,0.008592920950415125,0.012774193548387096,0.0,0.22727272727272724,0.07110879666527689
4,5,87993,205,0,17.29,0.03,1.98,0.089,0.02950797613269008,0.00042019868709304207,0.044,0.009549970161205502,0.012774193548387096,0.029325513196481,0.0,0.12955943577953144
4,5,88014,205,0,20.6,0.03,2.18,0.11,0.032963304176118806,0.000469838178729769,0.04400000000000001,0.010678140425676564,0.01406451612903226,0.10263929618768326,0.22727272727272727,0.18111251598873795
4,5,88037,205,0,23.9,0.04,2.68,0.133,0.03747692683619455,0.0005230690156614703,0.045,0.01162375590358823,0.01729032258064516,0.14193548387096774,0.22222222222222227,0.22075096979749892
4,5,88059,205,0,26.99,0.04,3.17,0.155,0.042897097817006256,0.0005758002977630197,0.046999999999999986,0.012251070165170635,0.020451612903225808,0.13589567604667127,0.21276595744680862,0.24670519120102818
4,5,88084,205,0,29.74,0.05,3.67,0.18,0.04907207082264287,0.0006241498029253715,0.04600000000000001,0.013568473976638507,0.02367741935483871,0.14025245441795225,0.434782608695652,0.28158699435189305
4,5,88105,205,0,32.27,0.06,4.17,0.201,0.05585009955719334,0.0006647550711586025,0.04300000000000001,0.01545942025950238,0.026903225806451613,0.14853713428357093,0.23255813953488355,0.3257527186535572
4,5,88127,205,0,34.25,0.06,4.66,0.223,0.06307943772474583,0.0006950060974321017,0.044999999999999984,0.0154445799429356,0.03006451612903226,0.1275985663082437,0.2222222222222225,0.3280995637974851
4,5,88150,205,0,36.02,0.07,5.06,0.246,0.07061457992808017,0.0007131855210356735,0.04400000000000001,0.01620876184171985,0.03264516129032258,0.1026392961876832,0.45454545454545453,0.352907961603609
4,5,88171,205,0,37.45,0.08,5.36,0.267,0.07860738803530463,0.0007185154504917098,0.043999999999999984,0.01632989660208432,0.03458064516129032,0.1011730205278593,0.4545454545454545,0.33307081934083743
4,5,88194,205,0,38.66,0.09,5.75,0.29,0.085269695979077,0.000711120586666019,0.043999999999999984,0.016161831515136803,0.037096774193548385,0.1011730205278593,0.22727272727272724,0.31739427620434096
4,5,88215,205,0,39.76,0.09,6.05,0.311,0.09257273618829563,0.0006919240078945447,0.04400000000000004,0.01572554563396691,0.03903225806451613,0.08797653958944268,0.22727272727272727,0.32564117804391984
4,5,88238,205,0,40.75,0.1,6.35,0.334,0.09959790781300949,0.0006624949318201621,0.043999999999999984,0.01505670299591278,0.040967741935483866,0.08797653958944295,0.4545454545454548,0.29213349579481945
4,5,88259,205,0,41.63,0.11,6.65,0.355,0.10542661000326768,0.0006248679682518787,0.04299999999999998,0.014531813215159976,0.04290322580645162,0.07501875468867222,0.2325581395348837,0.27612002706462474
4,5,88281,205,0,42.4,0.11,6.85,0.377,0.11147106897678835,0.00058135193544864,0.04600000000000004,0.012638085553231293,0.04419354838709677,0.06872370266479647,0.21739130434782578,0.23537103628636463
4,5,88305,205,0,43.17,0.12,7.14,0.401,0.11625367767244046,0.0005343438810259035,0.045999999999999985,0.01161617132665008,0.04606451612903226,0.06872370266479669,0.21739130434782605,0.21120855067725766
4,5,88327,205,0,43.84,0.12,7.34,0.423,0.1211866623079422,0.00048616087576749847,0.043999999999999984,0.011049110812897696,0.04735483870967742,0.05865102639296186,0.22727272727272757,0.2272727272727244
4,5,88349,205,0,44.5,0.13,7.54,0.445,0.12625367767244033,0.0004388988112717591,0.04400000000000004,0.009974972983449062,0.04864516129032258,0.05865102639296194,0.22727272727272727,0.21323070522154938
4,5,88371,205,0,44.94,0.13,7.74,0.467,0.13056881333769038,0.0003943242313055881,0.043999999999999984,0.008961914347854278,0.049935483870967745,0.04398826979472147,0.0,0.17942583732057227
4,5,88393,205,0,45.38,0.13,7.84,0.489,0.1341484145145455,0.00035380235256564954,0.043999999999999984,0.00804096255831022,0.05058064516129032,0.04398826979472116,0.22727272727272757,0.1668697435287803
4,5,88415,205,0,45.93,0.14,8.04,0.511,0.1379110820529567,0.0003182618023435344,0.04400000000000004,0.007233222780534867,0.051870967741935475,0.04398826979472142,0.22727272727272727,0.17630538797586626
4,5,88437,205,0,46.37,0.14,8.14,0.533,0.14190585158548363,0.0002881940968006642,0.04400000000000004,0.006549865836378726,0.052516129032258066,0.04252199413489754,0.0,0.16820707896222525
4,5,88459,205,0,46.81,0.14,8.33,0.555,0.14531219352729463,0.0002636835995176998,0.04299999999999993,0.006132176732969774,0.05374193548387097,0.04351087771942983,0.23255813953488366,0.15965089670586766
4,5,88480,205,0,47.14,0.15,8.43,0.576,0.14877084014383593,0.00024446193638879166,0.04599999999999993,0.005314389921495479,0.054387096774193545,0.028050490883590337,0.217391304347826,0.14184800375229034
4,5,88505,205,0,47.47,0.15,8.53,0.601,0.15183720169989998,0.00022997981934709343,0.04700000000000004,0.004893187645682835,0.05503225806451612,0.04118050789293084,0.2127659574468085,0.12457137292815577
4,5,88527,205,0,47.91,0.16,8.73,0.623,0.15462569467145926,0.00021948887999993438,0.04400000000000004,0.004988383636362141,0.056322580645161296,0.04398826979472158,0.22727272727272727,0.13573954649469305
4,5,88549,205,0,48.24,0.16,8.83,0.645,0.15780974174566648,0.0002121262667714632,0.04300000000000004,0.004933168994685186,0.05696774193548387,0.03000750187546866,0.0,0.1397325467358977
4,5,88570,205,0,48.57,0.16,8.93,0.666,0.16063419418110286,0.0002069954060839052,0.04399999999999993,0.00470444104736149,0.05761290322580645,0.02932551319648081,0.0,0.12355493476774747
4,5,88593,205,0,48.79,0.16,9.03,0.689,0.16324615887544736,0.0002032374388519571,0.04399999999999993,0.004619032701180851,0.05825806451612903,0.04398826979472153,0.22727272727272785,0.11723973966536706
4,5,88614,205,0,49.12,0.17,9.23,0.71,0.165792742726379,0.00020008913084746993,0.04400000000000004,0.0045474802465334035,0.059548387096774194,0.04398826979472158,0.22727272727272727,0.10981009836844961
