MS, MPT, t (s), PWMi, PWMe, Pressure (Psi), LW (V), Displacement (mm)
5 ,  3 ,  85707 ,  0 ,  255 ,  9.92 ,  0.03 ,  1.79
5 ,  3 ,  85729 ,  210 ,  0 ,  9.59 ,  0.03 ,  1.69
5 ,  3 ,  85751 ,  210 ,  0 ,  9.70 ,  0.03 ,  1.69
5 ,  3 ,  85774 ,  210 ,  0 ,  11.02 ,  0.03 ,  1.69
5 ,  3 ,  85795 ,  210 ,  0 ,  14.87 ,  0.03 ,  1.79
5 ,  3 ,  85818 ,  210 ,  0 ,  19.39 ,  0.04 ,  2.28
5 ,  3 ,  85840 ,  210 ,  0 ,  23.90 ,  0.04 ,  2.88
5 ,  3 ,  85862 ,  210 ,  0 ,  27.98 ,  0.05 ,  3.47
5 ,  3 ,  85884 ,  210 ,  0 ,  31.50 ,  0.06 ,  4.17
5 ,  3 ,  85909 ,  210 ,  0 ,  34.69 ,  0.07 ,  4.86
5 ,  3 ,  85931 ,  210 ,  0 ,  37.12 ,  0.08 ,  5.36
5 ,  3 ,  85953 ,  210 ,  0 ,  39.10 ,  0.09 ,  5.85
5 ,  3 ,  85975 ,  210 ,  0 ,  40.86 ,  0.11 ,  6.35
5 ,  3 ,  85997 ,  210 ,  0 ,  42.29 ,  0.11 ,  6.75
5 ,  3 ,  86019 ,  210 ,  0 ,  43.61 ,  0.12 ,  7.14
5 ,  3 ,  86041 ,  210 ,  0 ,  44.72 ,  0.13 ,  7.44
5 ,  3 ,  86063 ,  210 ,  0 ,  45.60 ,  0.14 ,  7.74
5 ,  3 ,  86085 ,  210 ,  0 ,  46.59 ,  0.14 ,  8.04
5 ,  3 ,  86110 ,  210 ,  0 ,  47.58 ,  0.15 ,  8.33
5 ,  3 ,  86131 ,  210 ,  0 ,  48.35 ,  0.16 ,  8.63
5 ,  3 ,  86154 ,  210 ,  0 ,  49.01 ,  0.17 ,  8.83
5 ,  3 ,  86175 ,  210 ,  0 ,  49.67 ,  0.17 ,  9.03
5 ,  3 ,  86198 ,  210 ,  0 ,  50.33 ,  0.17 ,  9.23
5 ,  3 ,  86219 ,  210 ,  0 ,  50.99 ,  0.18 ,  9.53
5 ,  3 ,  86242 ,  210 ,  0 ,  51.54 ,  0.18 ,  9.62
5 ,  3 ,  86263 ,  210 ,  0 ,  51.98 ,  0.19 ,  9.82
5 ,  3 ,  86286 ,  210 ,  0 ,  52.42 ,  0.20 ,  10.02
5 ,  3 ,  86310 ,  210 ,  0 ,  52.98 ,  0.20 ,  10.22
5 ,  3 ,  86332 ,  210 ,  0 ,  53.42 ,  0.21 ,  10.32
5 ,  3 ,  86354 ,  210 ,  0 ,  53.86 ,  0.21 ,  10.52
5 ,  3 ,  86376 ,  210 ,  0 ,  54.41 ,  0.21 ,  10.62
5 ,  3 ,  86398 ,  210 ,  0 ,  54.74 ,  0.22 ,  10.81
5 ,  3 ,  86420 ,  210 ,  0 ,  55.07 ,  0.22 ,  10.81
5 ,  3 ,  86443 ,  210 ,  0 ,  55.40 ,  0.22 ,  11.01
5 ,  3 ,  86464 ,  210 ,  0 ,  55.84 ,  0.22 ,  11.11
5 ,  3 ,  86487 ,  210 ,  0 ,  56.17 ,  0.22 ,  11.21
5 ,  3 ,  86509 ,  210 ,  0 ,  56.39 ,  0.23 ,  11.41
5 ,  3 ,  86533 ,  210 ,  0 ,  56.72 ,  0.23 ,  11.51
5 ,  3 ,  86555 ,  210 ,  0 ,  56.94 ,  0.23 ,  11.61
5 ,  3 ,  86577 ,  210 ,  0 ,  57.16 ,  0.23 ,  11.71
5 ,  3 ,  86599 ,  210 ,  0 ,  57.49 ,  0.23 ,  11.71
5 ,  3 ,  86621 ,  210 ,  0 ,  57.71 ,  0.24 ,  11.81
5 ,  3 ,  86643 ,  210 ,  0 ,  57.82 ,  0.24 ,  11.91
5 ,  3 ,  86666 ,  210 ,  0 ,  58.04 ,  0.24 ,  12.01
5 ,  3 ,  86687 ,  210 ,  0 ,  58.26 ,  0.24 ,  12.01
5 ,  3 ,  86710 ,  210 ,  0 ,  58.48 ,  0.25 ,  12.10
5 ,  3 ,  86733 ,  210 ,  0 ,  58.70 ,  0.25 ,  12.20
5 ,  3 ,  86756 ,  210 ,  0 ,  58.81 ,  0.25 ,  12.20
5 ,  3 ,  86777 ,  210 ,  0 ,  58.92 ,  0.25 ,  12.30
5 ,  3 ,  86800 ,  210 ,  0 ,  59.14 ,  0.25 ,  12.30
5 ,  3 ,  86822 ,  210 ,  0 ,  59.25 ,  0.25 ,  12.40
5 ,  3 ,  86844 ,  210 ,  0 ,  59.36 ,  0.26 ,  12.40
5 ,  3 ,  86866 ,  210 ,  0 ,  59.58 ,  0.26 ,  12.50
5 ,  3 ,  86889 ,  210 ,  0 ,  59.69 ,  0.26 ,  12.50
5 ,  3 ,  86910 ,  210 ,  0 ,  59.80 ,  0.26 ,  12.60
5 ,  3 ,  86935 ,  210 ,  0 ,  59.91 ,  0.26 ,  12.60
5 ,  3 ,  86958 ,  210 ,  0 ,  60.13 ,  0.26 ,  12.70
5 ,  3 ,  86979 ,  210 ,  0 ,  60.24 ,  0.27 ,  12.70
5 ,  3 ,  87002 ,  210 ,  0 ,  60.24 ,  0.27 ,  12.80
5 ,  3 ,  87023 ,  210 ,  0 ,  60.46 ,  0.26 ,  12.80
5 ,  3 ,  87046 ,  210 ,  0 ,  60.57 ,  0.27 ,  12.80
5 ,  3 ,  87067 ,  210 ,  0 ,  60.57 ,  0.27 ,  12.90
5 ,  3 ,  87090 ,  210 ,  0 ,  60.68 ,  0.27 ,  12.90
5 ,  3 ,  87111 ,  210 ,  0 ,  60.79 ,  0.27 ,  12.90
5 ,  3 ,  87134 ,  210 ,  0 ,  60.90 ,  0.27 ,  13.00
5 ,  3 ,  87158 ,  210 ,  0 ,  60.90 ,  0.27 ,  13.00
5 ,  3 ,  87180 ,  210 ,  0 ,  61.01 ,  0.28 ,  13.00
5 ,  3 ,  87202 ,  210 ,  0 ,  61.13 ,  0.28 ,  13.10
5 ,  3 ,  87224 ,  210 ,  0 ,  61.13 ,  0.28 ,  13.10
5 ,  3 ,  87246 ,  210 ,  0 ,  61.24 ,  0.27 ,  13.10
5 ,  3 ,  87268 ,  210 ,  0 ,  61.24 ,  0.28 ,  13.20
5 ,  3 ,  87290 ,  210 ,  0 ,  61.35 ,  0.28 ,  13.20
5 ,  3 ,  87312 ,  210 ,  0 ,  61.46 ,  0.28 ,  13.20
5 ,  3 ,  87334 ,  210 ,  0 ,  61.46 ,  0.28 ,  13.20
5 ,  3 ,  87359 ,  210 ,  0 ,  61.57 ,  0.28 ,  13.30
5 ,  3 ,  87380 ,  210 ,  0 ,  61.57 ,  0.28 ,  13.30
5 ,  3 ,  87403 ,  210 ,  0 ,  61.57 ,  0.28 ,  13.30
5 ,  3 ,  87425 ,  210 ,  0 ,  61.68 ,  0.28 ,  13.30
5 ,  3 ,  87447 ,  210 ,  0 ,  61.79 ,  0.28 ,  13.30
5 ,  3 ,  87470 ,  210 ,  0 ,  61.79 ,  0.28 ,  13.39
