=====Start_data=====
Date: 13/02/2022, Time: 00:00
Notes: filter and calibrated data
Collection period (s): 60.00, Sampling Frequency (Hz): 50.00
Counter, Distance(mm)
0, 3.77, 4.65
1, 11.91, 14.58
2, 24.60, 29.98
3, 39.79, 48.41
4, 55.91, 68.02
5, 71.81, 87.42
6, 86.74, 105.73
7, 100.19, 122.33
8, 111.90, 136.75
9, 121.78, 148.81
10, 129.83, 158.50
11, 136.07, 166.12
12, 140.66, 171.94
13, 143.84, 176.23
14, 145.89, 179.23
15, 147.06, 181.16
16, 147.59, 182.26
17, 147.65, 182.74
18, 147.36, 182.74
19, 146.83, 182.39
20, 146.15, 181.81
21, 145.23, 181.04
22, 144.13, 180.15
23, 142.76, 179.01
24, 141.22, 177.66
25, 139.60, 176.06
26, 138.00, 174.34
27, 136.51, 172.58
28, 134.98, 170.76
29, 133.42, 168.92
30, 131.68, 166.96
31, 129.86, 164.97
32, 128.00, 162.98
33, 126.19, 161.14
34, 124.49, 159.50
35, 122.88, 157.99
36, 121.37, 156.56
37, 119.97, 155.21
38, 118.99, 154.23
39, 118.49, 153.67
40, 118.62, 153.86
41, 119.25, 154.71
42, 120.27, 156.12
43, 121.61, 158.15
44, 123.16, 160.64
45, 124.88, 163.42
46, 126.65, 166.23
47, 128.39, 168.88
48, 130.04, 171.26
49, 131.56, 173.29
50, 132.84, 174.97
51, 133.83, 176.31
52, 134.51, 177.28
53, 134.92, 177.93
54, 135.10, 178.27
55, 135.12, 178.18
56, 135.02, 177.68
57, 134.76, 176.70
58, 134.36, 175.39
59, 133.85, 173.87
60, 133.18, 172.19
61, 132.38, 170.46
62, 131.35, 168.68
63, 130.13, 166.95
64, 128.80, 165.31
65, 127.39, 163.69
66, 125.98, 162.10
67, 124.54, 160.42
68, 123.12, 158.70
69, 121.74, 156.98
70, 120.52, 155.34
71, 119.50, 153.86
72, 118.92, 152.96
73, 118.79, 152.72
74, 119.08, 153.15
75, 119.73, 154.12
76, 120.65, 155.44
77, 121.84, 157.12
78, 123.22, 159.03
79, 124.76, 161.24
80, 126.36, 163.65
81, 127.95, 166.16
82, 129.46, 168.50
83, 130.86, 170.53
84, 132.11, 172.26
85, 133.20, 173.69
86, 134.11, 174.87
87, 134.85, 175.68
88, 135.43, 176.12
89, 135.81, 176.18
90, 136.01, 175.95
91, 136.04, 175.53
92, 135.74, 174.78
93, 135.12, 173.73
94, 134.14, 172.29
95, 132.94, 170.58
96, 131.62, 168.72
97, 130.18, 166.78
98, 128.68, 164.87
99, 127.14, 162.93
100, 125.64, 161.00
101, 124.26, 159.05
102, 123.05, 157.18
103, 122.04, 155.43
104, 121.20, 154.02
105, 120.50, 153.01
106, 120.09, 152.67
107, 119.99, 152.96
108, 120.19, 153.80
109, 120.74, 155.07
110, 121.60, 156.62
111, 122.78, 158.62
112, 124.17, 161.02
113, 125.67, 163.70
114, 127.22, 166.43
115, 128.74, 169.03
116, 130.20, 171.28
117, 131.54, 173.11
118, 132.71, 174.49
119, 133.79, 175.48
120, 134.78, 176.16
121, 135.54, 176.48
122, 136.02, 176.52
123, 136.19, 176.22
124, 136.09, 175.66
125, 135.77, 174.92
126, 135.22, 173.84
127, 134.48, 172.46
128, 133.51, 170.75
129, 132.38, 168.86
130, 131.13, 166.90
131, 129.78, 164.97
132, 128.35, 163.15
133, 126.91, 161.47
134, 125.53, 159.95
135, 124.27, 158.63
136, 123.10, 157.29
137, 122.04, 155.91
138, 121.16, 154.74
139, 120.49, 153.90
140, 120.05, 153.48
141, 119.93, 153.45
142, 120.10, 153.74
143, 120.69, 154.55
144, 121.63, 155.81
145, 122.85, 157.45
146, 124.32, 159.37
147, 125.97, 161.45
148, 127.63, 163.74
149, 129.17, 166.13
150, 130.51, 168.36
151, 131.75, 170.27
152, 132.89, 171.75
153, 133.99, 172.88
154, 135.02, 173.72
155, 135.87, 174.30
156, 136.52, 174.64
157, 136.94, 174.80
158, 137.03, 174.63
159, 136.79, 174.14
160, 136.16, 173.12
161, 135.22, 171.67
162, 134.08, 169.86
163, 132.71, 168.02
164, 131.19, 166.30
165, 129.55, 164.65
166, 127.91, 163.05
167, 126.33, 161.51
168, 124.84, 159.97
169, 123.45, 158.47
170, 122.22, 156.99
171, 121.16, 155.59
172, 120.31, 154.31
173, 119.75, 153.45
174, 119.48, 153.07
175, 119.58, 153.22
176, 120.00, 153.77
177, 120.66, 154.81
178, 121.57, 156.24
179, 122.66, 157.98
180, 123.93, 159.98
181, 125.27, 162.11
182, 126.78, 164.48
183, 128.42, 166.99
184, 130.13, 169.55
185, 131.80, 171.76
186, 133.36, 173.50
187, 134.70, 174.78
188, 135.79, 175.70
189, 136.62, 176.35
190, 137.11, 176.72
191, 137.29, 176.81
192, 137.05, 176.49
193, 136.47, 175.80
194, 135.61, 174.79
195, 134.57, 173.48
196, 133.45, 171.96
197, 132.25, 170.17
198, 131.00, 168.23
199, 129.75, 166.22
200, 128.43, 164.18
201, 127.07, 162.20
202, 125.69, 160.18
203, 124.36, 158.18
204, 123.14, 156.34
205, 122.10, 154.77
206, 121.24, 153.52
207, 120.51, 152.78
208, 119.90, 152.53
209, 119.64, 152.92
210, 119.76, 153.81
211, 120.29, 155.09
212, 121.18, 156.81
213, 122.33, 158.86
214, 123.76, 161.25
215, 125.36, 163.77
216, 127.05, 166.30
217, 128.72, 168.76
218, 130.27, 171.05
219, 131.67, 173.05
220, 132.88, 174.71
221, 133.89, 175.99
222, 134.77, 176.97
223, 135.53, 177.70
224, 136.04, 178.09
225, 136.25, 178.16
226, 136.18, 177.72
227, 135.85, 176.84
228, 135.33, 175.59
229, 134.53, 174.12
230, 133.48, 172.56
231, 132.24, 170.96
232, 130.79, 169.39
233, 129.22, 167.89
234, 127.57, 166.31
235, 125.95, 164.65
236, 124.45, 162.97
237, 123.00, 161.40
238, 121.61, 160.01
239, 120.39, 158.60
240, 119.40, 157.16
241, 118.77, 156.06
242, 118.46, 155.46
243, 118.43, 155.44
244, 118.79, 156.04
245, 119.49, 157.16
246, 120.58, 158.82
247, 121.90, 160.83
248, 123.37, 163.05
249, 125.00, 165.24
250, 126.71, 167.28
251, 128.41, 169.25
252, 129.98, 171.16
253, 131.48, 172.98
254, 132.81, 174.60
255, 133.97, 175.97
256, 134.89, 177.01
257, 135.57, 177.73
258, 136.03, 178.14
259, 136.16, 178.23
260, 135.99, 178.06
261, 135.55, 177.43
262, 134.81, 176.38
263, 133.84, 174.99
264, 132.63, 173.38
265, 131.29, 171.66
266, 129.78, 169.70
267, 128.16, 167.56
268, 126.48, 165.28
269, 124.85, 163.02
270, 123.34, 160.91
271, 122.02, 158.95
272, 120.92, 157.18
273, 120.05, 155.61
274, 119.47, 154.20
275, 119.15, 152.97
276, 119.16, 152.27
277, 119.44, 152.16
278, 119.93, 152.85
279, 120.63, 154.16
280, 121.47, 155.92
281, 122.54, 158.02
282, 123.79, 160.29
283, 125.15, 162.74
284, 126.61, 165.27
285, 128.09, 167.77
286, 129.52, 170.04
287, 130.84, 172.00
288, 131.98, 173.69
289, 133.07, 175.15
290, 134.14, 176.44
291, 135.10, 177.40
292, 135.87, 178.01
293, 136.29, 178.12
294, 136.36, 177.79
295, 136.13, 177.08
296, 135.50, 176.05
297, 134.54, 174.79
298, 133.28, 173.33
299, 131.86, 171.78
300, 130.39, 170.23
301, 128.89, 168.46
302, 127.40, 166.49
303, 125.90, 164.33
304, 124.46, 162.16
305, 123.11, 160.09
306, 121.83, 158.21
307, 120.65, 156.57
308, 119.71, 155.22
309, 119.05, 154.18
310, 118.69, 153.77
311, 118.62, 153.97
312, 118.78, 154.76
313, 119.35, 156.09
314, 120.31, 157.84
315, 121.61, 159.82
316, 123.07, 161.84
317, 124.57, 163.74
318, 126.13, 165.67
319, 127.70, 167.63
